subject_id,roi_name,bold_value
sub-001,Right_S1,0.492532
sub-002,Right_S1,-1.21803
sub-003,Right_S1,0.1282
sub-004,Right_S1,0.681465
sub-005,Right_S1,1.013971
sub-006,Right_S1,-0.644456
sub-007,Right_S1,0.131225
sub-008,Right_S1,0.296294
sub-009,Right_S1,1.6484
sub-010,Right_S1,-1.355897
sub-011,Right_S1,-0.790218
sub-012,Right_S1,2.895705
sub-013,Right_S1,-0.157303
sub-014,Right_S1,-1.762292
sub-015,Right_S1,-0.464287
sub-016,Right_S1,-2.633168
sub-017,Right_S1,0.352615
sub-018,Right_S1,0.91694
sub-019,Right_S1,-0.790774
sub-020,Right_S1,-0.353353
sub-021,Right_S1,1.029901
sub-022,Right_S1,-1.622637
sub-023,Right_S1,-1.197412
sub-024,Right_S1,-0.11268
sub-025,Right_S1,-0.632717
sub-026,Right_S1,-0.177907
sub-027,Right_S1,-1.140053
sub-028,Right_S1,0.32622
sub-029,Right_S1,-0.034427
sub-030,Right_S1,0.658425
sub-031,Right_S1,0.312417
sub-032,Right_S1,0.318657
sub-033,Right_S1,-1.321153
sub-034,Right_S1,0.602278
sub-035,Right_S1,-0.214611
sub-036,Right_S1,-0.051653
sub-037,Right_S1,1.153517
sub-038,Right_S1,-0.60008
sub-039,Right_S1,1.454021
sub-040,Right_S1,1.546568
sub-041,Right_S1,0.860395
sub-042,Right_S1,-0.859182
sub-043,Right_S1,-2.055236
sub-044,Right_S1,1.183844
sub-045,Right_S1,0.224112
sub-046,Right_S1,-0.625637
sub-047,Right_S1,1.277816
sub-048,Right_S1,-0.74107
sub-049,Right_S1,-0.307156
sub-050,Right_S1,0.634319
sub-051,Right_S1,-0.991103
sub-052,Right_S1,0.005008
sub-053,Right_S1,1.194064
sub-054,Right_S1,0.323042
sub-055,Right_S1,1.351091
sub-056,Right_S1,1.238175
sub-057,Right_S1,0.121292
sub-058,Right_S1,-2.204484
sub-059,Right_S1,-0.983335
sub-060,Right_S1,0.87086
sub-061,Right_S1,-1.424268
sub-062,Right_S1,-0.210471
sub-063,Right_S1,0.449396
sub-064,Right_S1,1.571463
sub-065,Right_S1,-0.456817
sub-066,Right_S1,-0.524738
sub-067,Right_S1,0.061588
sub-068,Right_S1,0.461729
sub-069,Right_S1,-0.0394
sub-070,Right_S1,1.154513
sub-071,Right_S1,-0.679153
sub-072,Right_S1,0.232818
sub-073,Right_S1,0.555277
sub-074,Right_S1,-0.283424
sub-075,Right_S1,0.946627
sub-076,Right_S1,0.261386
sub-077,Right_S1,0.896168
sub-078,Right_S1,0.306171
sub-079,Right_S1,0.487018
sub-080,Right_S1,-0.513731
sub-081,Right_S1,-0.512124
