subject_id,roi_name,gm_volume
sub-001,PBN,-0.562121
sub-002,PBN,-0.112999
sub-003,PBN,0.091024
sub-004,PBN,-0.391074
sub-005,PBN,0.502551
sub-006,PBN,-0.959725
sub-007,PBN,-0.957992
sub-008,PBN,0.191586
sub-009,PBN,-1.177835
sub-010,PBN,0.698749
sub-011,PBN,0.110115
sub-012,PBN,-1.764927
sub-013,PBN,0.091219
sub-014,PBN,-1.640555
sub-015,PBN,0.539124
sub-016,PBN,-0.268432
sub-017,PBN,1.684336
sub-018,PBN,1.011813
sub-019,PBN,-1.082116
sub-020,PBN,-2.016204
sub-021,PBN,-0.779151
sub-022,PBN,-1.368819
sub-023,PBN,1.935916
sub-024,PBN,0.106664
sub-025,PBN,0.922614
sub-026,PBN,-0.317885
sub-027,PBN,-0.266082
sub-028,PBN,-0.104908
sub-029,PBN,1.080616
sub-030,PBN,0.191661
sub-031,PBN,-1.154908
sub-032,PBN,1.544279
sub-033,PBN,-0.398195
sub-034,PBN,-0.50526
sub-035,PBN,-2.775014
sub-036,PBN,0.533572
sub-037,PBN,0.05424
sub-038,PBN,0.061546
sub-039,PBN,-0.545442
sub-040,PBN,-0.414214
sub-041,PBN,-0.291244
sub-042,PBN,0.509685
sub-043,PBN,0.619523
sub-044,PBN,-0.244178
sub-045,PBN,1.011755
sub-046,PBN,-0.038718
sub-047,PBN,-0.466277
sub-048,PBN,-0.029854
sub-049,PBN,-1.510958
sub-050,PBN,0.22374
sub-051,PBN,-1.524715
sub-052,PBN,-0.95879
sub-053,PBN,-1.87477
sub-054,PBN,-0.199767
sub-055,PBN,1.622191
sub-056,PBN,-0.145167
sub-057,PBN,0.718706
sub-058,PBN,2.334184
sub-059,PBN,0.349225
sub-060,PBN,-0.816863
sub-061,PBN,-0.685485
sub-062,PBN,0.065259
sub-063,PBN,-0.724226
sub-064,PBN,-0.523869
sub-065,PBN,0.883446
sub-066,PBN,0.972967
sub-067,PBN,-1.550033
sub-068,PBN,-0.816627
sub-069,PBN,-0.520705
sub-070,PBN,0.505363
sub-071,PBN,1.09789
sub-072,PBN,2.502125
sub-073,PBN,-0.571555
sub-074,PBN,-0.425582
sub-075,PBN,0.484512
sub-076,PBN,-0.855406
sub-077,PBN,-0.325387
sub-078,PBN,-0.350466
sub-079,PBN,-2.542717
sub-080,PBN,-0.029233
sub-081,PBN,-0.134746
sub-082,PBN,1.314416
sub-083,PBN,0.006075
sub-084,PBN,-1.302226
sub-085,PBN,-0.28245
sub-086,PBN,-2.042303
sub-087,PBN,-1.175271
sub-088,PBN,0.642723
sub-089,PBN,-0.212322
sub-090,PBN,0.695416
sub-091,PBN,-1.992875
sub-092,PBN,-0.34288
sub-093,PBN,-0.46654
sub-094,PBN,0.917289
sub-095,PBN,0.679441
sub-096,PBN,0.797975
sub-097,PBN,1.584258
sub-098,PBN,-0.259665
sub-099,PBN,1.448239
sub-100,PBN,-0.971453
sub-101,PBN,-1.200641
sub-102,PBN,0.70679
sub-103,PBN,-1.614671
sub-104,PBN,0.494965
sub-105,PBN,0.003043
sub-106,PBN,1.086111
sub-107,PBN,-0.135167
sub-108,PBN,-0.037327
sub-109,PBN,0.508228
sub-110,PBN,-0.730858
sub-111,PBN,-0.774184
sub-112,PBN,0.471907
sub-113,PBN,0.02067
sub-114,PBN,-0.346235
sub-115,PBN,-0.124588
sub-116,PBN,1.505844
sub-117,PBN,-0.411343
sub-118,PBN,-0.502623
sub-119,PBN,-1.758755
sub-120,PBN,-0.125588
sub-121,PBN,0.490224
sub-122,PBN,0.687561
sub-123,PBN,0.146531
sub-124,PBN,0.774005
sub-125,PBN,0.722924
sub-126,PBN,0.977401
sub-127,PBN,0.925799
sub-128,PBN,1.538324
sub-129,PBN,-0.064863
sub-130,PBN,-1.327958
sub-131,PBN,0.735369
sub-132,PBN,0.656592
sub-133,PBN,1.390521
sub-134,PBN,1.284024
sub-135,PBN,1.852718
sub-136,PBN,0.628338
sub-137,PBN,0.236508
sub-138,PBN,-1.457399
sub-139,PBN,0.269238
sub-140,PBN,-0.713017
sub-141,PBN,0.208293
sub-142,PBN,-0.059575
sub-143,PBN,0.419678
sub-144,PBN,-0.193241
sub-145,PBN,0.91683
sub-146,PBN,-2.709699
sub-147,PBN,0.159038
sub-148,PBN,1.209561
sub-149,PBN,1.750978
sub-150,PBN,0.633122
sub-151,PBN,1.574208
sub-152,PBN,0.011705
sub-153,PBN,-0.144834
sub-154,PBN,0.512579
sub-155,PBN,-0.068309
sub-156,PBN,-0.757866
sub-157,PBN,-0.544862
sub-158,PBN,-1.083889
sub-159,PBN,0.358674
sub-160,PBN,-0.053253
sub-161,PBN,-0.374041
sub-162,PBN,-0.685113
sub-163,PBN,0.626241
sub-164,PBN,0.884963
sub-165,PBN,-1.208886
sub-166,PBN,-1.307035
sub-167,PBN,0.88253
sub-168,PBN,-1.286719
sub-169,PBN,0.503391
sub-170,PBN,1.39934
sub-171,PBN,1.492
sub-172,PBN,0.675758
sub-173,PBN,0.69384
sub-174,PBN,2.207328
sub-001,SI_BF_Ch4,-2.118302
sub-002,SI_BF_Ch4,-0.338714
sub-003,SI_BF_Ch4,0.808601
sub-004,SI_BF_Ch4,-0.308648
sub-005,SI_BF_Ch4,1.143163
sub-006,SI_BF_Ch4,-0.001586
sub-007,SI_BF_Ch4,0.146003
sub-008,SI_BF_Ch4,-0.075988
sub-009,SI_BF_Ch4,-0.429349
sub-010,SI_BF_Ch4,-0.461612
sub-011,SI_BF_Ch4,0.143285
sub-012,SI_BF_Ch4,-0.711328
sub-013,SI_BF_Ch4,0.88398
sub-014,SI_BF_Ch4,0.585079
sub-015,SI_BF_Ch4,1.130357
sub-016,SI_BF_Ch4,-0.978421
sub-017,SI_BF_Ch4,-1.388926
sub-018,SI_BF_Ch4,0.047196
sub-019,SI_BF_Ch4,2.651691
sub-020,SI_BF_Ch4,1.177182
sub-021,SI_BF_Ch4,-0.450864
sub-022,SI_BF_Ch4,0.548041
sub-023,SI_BF_Ch4,0.537497
sub-024,SI_BF_Ch4,-1.321942
sub-025,SI_BF_Ch4,1.238226
sub-026,SI_BF_Ch4,-0.102656
sub-027,SI_BF_Ch4,0.013523
sub-028,SI_BF_Ch4,0.101098
sub-029,SI_BF_Ch4,1.047274
sub-030,SI_BF_Ch4,-0.560024
sub-031,SI_BF_Ch4,-1.413728
sub-032,SI_BF_Ch4,0.349455
sub-033,SI_BF_Ch4,-1.720722
sub-034,SI_BF_Ch4,-0.204605
sub-035,SI_BF_Ch4,1.072876
sub-036,SI_BF_Ch4,0.615365
sub-037,SI_BF_Ch4,0.99017
sub-038,SI_BF_Ch4,0.60366
sub-039,SI_BF_Ch4,2.313644
sub-040,SI_BF_Ch4,-0.652997
sub-041,SI_BF_Ch4,0.304845
sub-042,SI_BF_Ch4,-0.429775
sub-043,SI_BF_Ch4,0.880197
sub-044,SI_BF_Ch4,-0.026464
sub-045,SI_BF_Ch4,1.484266
sub-046,SI_BF_Ch4,-0.498863
sub-047,SI_BF_Ch4,1.24966
sub-048,SI_BF_Ch4,0.751124
sub-049,SI_BF_Ch4,0.143591
sub-050,SI_BF_Ch4,0.504805
sub-051,SI_BF_Ch4,0.255744
sub-052,SI_BF_Ch4,0.28577
sub-053,SI_BF_Ch4,-0.272632
sub-054,SI_BF_Ch4,-0.591409
sub-055,SI_BF_Ch4,-0.324018
sub-056,SI_BF_Ch4,-1.470377
sub-057,SI_BF_Ch4,0.690516
sub-058,SI_BF_Ch4,-1.115584
sub-059,SI_BF_Ch4,-0.13836
sub-060,SI_BF_Ch4,0.654059
sub-061,SI_BF_Ch4,0.829436
sub-062,SI_BF_Ch4,-1.639008
sub-063,SI_BF_Ch4,0.023993
sub-064,SI_BF_Ch4,0.403375
sub-065,SI_BF_Ch4,0.137625
sub-066,SI_BF_Ch4,1.252558
sub-067,SI_BF_Ch4,-0.787486
sub-068,SI_BF_Ch4,-1.815058
sub-069,SI_BF_Ch4,0.79969
sub-070,SI_BF_Ch4,-0.392644
sub-071,SI_BF_Ch4,-1.541994
sub-072,SI_BF_Ch4,0.011532
sub-073,SI_BF_Ch4,1.221903
sub-074,SI_BF_Ch4,-1.105435
sub-075,SI_BF_Ch4,2.196316
sub-076,SI_BF_Ch4,-0.570248
sub-077,SI_BF_Ch4,0.261959
sub-078,SI_BF_Ch4,-1.133807
sub-079,SI_BF_Ch4,0.019146
sub-080,SI_BF_Ch4,0.030485
sub-081,SI_BF_Ch4,-1.364651
sub-082,SI_BF_Ch4,2.491011
sub-083,SI_BF_Ch4,-0.43209
sub-084,SI_BF_Ch4,-0.367867
sub-085,SI_BF_Ch4,0.909438
sub-086,SI_BF_Ch4,1.629884
sub-087,SI_BF_Ch4,1.010728
sub-088,SI_BF_Ch4,-1.0816
sub-089,SI_BF_Ch4,0.177121
sub-090,SI_BF_Ch4,-1.482717
sub-091,SI_BF_Ch4,0.876979
sub-092,SI_BF_Ch4,-1.359323
sub-093,SI_BF_Ch4,-0.708683
sub-094,SI_BF_Ch4,0.030746
sub-095,SI_BF_Ch4,0.396208
sub-096,SI_BF_Ch4,-0.373209
sub-097,SI_BF_Ch4,1.313977
sub-098,SI_BF_Ch4,0.569217
sub-099,SI_BF_Ch4,0.467993
sub-100,SI_BF_Ch4,-1.140741
sub-101,SI_BF_Ch4,1.665003
sub-102,SI_BF_Ch4,-0.677441
sub-103,SI_BF_Ch4,1.696867
sub-104,SI_BF_Ch4,1.89086
sub-105,SI_BF_Ch4,0.56165
sub-106,SI_BF_Ch4,0.910092
sub-107,SI_BF_Ch4,-2.684442
sub-108,SI_BF_Ch4,-0.077432
sub-109,SI_BF_Ch4,0.995766
sub-110,SI_BF_Ch4,0.915791
sub-111,SI_BF_Ch4,-1.008768
sub-112,SI_BF_Ch4,-0.255521
sub-113,SI_BF_Ch4,-2.309012
sub-114,SI_BF_Ch4,0.334533
sub-115,SI_BF_Ch4,-1.638103
sub-116,SI_BF_Ch4,1.084428
sub-117,SI_BF_Ch4,1.052981
sub-118,SI_BF_Ch4,-0.377376
sub-119,SI_BF_Ch4,0.55455
sub-120,SI_BF_Ch4,-0.105004
sub-121,SI_BF_Ch4,0.372424
sub-122,SI_BF_Ch4,-0.893966
sub-123,SI_BF_Ch4,0.535412
sub-124,SI_BF_Ch4,-1.30894
sub-125,SI_BF_Ch4,-1.633379
sub-126,SI_BF_Ch4,0.010299
sub-127,SI_BF_Ch4,-0.138254
sub-128,SI_BF_Ch4,0.262254
sub-129,SI_BF_Ch4,-0.662987
sub-130,SI_BF_Ch4,1.727541
sub-131,SI_BF_Ch4,0.081684
sub-132,SI_BF_Ch4,0.323407
sub-133,SI_BF_Ch4,0.329861
sub-134,SI_BF_Ch4,0.891242
sub-135,SI_BF_Ch4,0.584899
sub-136,SI_BF_Ch4,0.392696
sub-137,SI_BF_Ch4,0.663392
sub-138,SI_BF_Ch4,-1.537241
sub-139,SI_BF_Ch4,-1.560237
sub-140,SI_BF_Ch4,0.100104
sub-141,SI_BF_Ch4,-0.16458
sub-142,SI_BF_Ch4,0.63711
sub-143,SI_BF_Ch4,0.071423
